compiler	symptom	workaround	url	commit		
gcc	diagnostic	refactoring	 https://github.com/chenshuo/muduo/commit/9aaeda812bde476d231495212e6cf331ae2792b4	Fix build on gcc <= 4.9, #512.Workaround a bug in gcc "-Wshadow is too strict / has false positives"https://gcc.gnu.org/bugzilla/show_bug.cgi?id=57709This should fix build on Ubuntu 14.04, Debian 7&8, CentOS 7.		
gcc	diagnostic	refactoring	 https://github.com/dxx-rebirth/dxx-rebirth/commit/bace34343789cbab2995d0c22aa6822b9e5b67ce	Fix gcc-11 warning -Wmaybe-uninitialized on input arrayFor gcc bug #10138 [1], gcc-11 gained a new way to show a-Wmaybe-uninitialized warning.  When an uninitialized array is passed by`const T *` to a function, gcc-11 assumes the array is an input to thefunction, and warns accordingly.  This is often useful, but is incorrectfor the Rebirth partial_range code.  In this code, the pointer is onlypassed so that the eventual exception can print the memory address ofthe affected array.  The called function does not dereference thepointer, and so cannot be influenced by any uninitialized values in theunderlying array.Change the report function to take the array address in a `uintptr_t`,and cast it back for printing.  This silences the gcc-11 warning, whilepreserving the previous semantics in the code.[1]: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=10138		
gcc	diagnostic	suppressing warning messages	 https://github.com/MontaVista-OpenSourceTechnology/linux-live-app-coredump/commit/b06a17583f6f810f620f95382b171cc5ce9848ee	Merge tag 'array-bounds-v5.18-rc1' of git://git.kernel.org/pub/scm/linux/kernel/git/kees/linuxPull array-bounds updates from Kees Cook: "This enables -Warray-bounds and -Wzero-length-bounds, now that the  many bug fixes have landed all over the place in the kernel, and in  GCC itself[1].  A couple fixes[2] for known corner-case issues currently live in my  "pending-fixes" tree which I'm expecting to send next week if other  maintainers still haven't picked them up.  I'm also expecting we can enable -Wstringop-overflow next cycle, as  there are only a few stragglers[3], but it might even be possible for  this release"[1] https://gcc.gnu.org/bugzilla/show_bug.cgi?id=99578[2] https://git.kernel.org/pub/scm/linux/kernel/git/kees/linux.git/commit/?h=for-next/pending-fixes&id=2d253138910eec553fc706379914243d71de9b85[3] https://github.com/KSPP/linux/issues/181* tag 'array-bounds-v5.18-rc1' of git://git.kernel.org/pub/scm/linux/kernel/git/kees/linux:  Makefile: Enable -Wzero-length-bounds  Makefile: Enable -Warray-bounds		
gcc	diagnostic	suppressing warning messages	 https://github.com/SoptikHa2/gnulib-2020/commit/f60dd0747ad75c2971cc314111c8fc2b8a38ce19	nl_langinfo-tests: work around GCC bug 44511* tests/test-nl_langinfo-mt.c: Ignore -Wreturn-type, to workaround a GCC bug <https://gcc.gnu.org/bugzilla/show_bug.cgi?id=44511>.Problem reported for GNU grep by Andreas Schwab<https://bugs.gnu.org/44535>.		
gcc	diagnostic,wrong-code	suppressing warning messages	 https://github.com/Deus-Ex-Mortis/RIOT-security/commit/6588db65805c01c8ceb8d6c7cddb41602b30d1f7	pkg/qcbor,wakaama,wolfssl: remove maybe-uninitialized warningsome variable seem uninitialized to gcc with -Og but aren'thttps://gcc.gnu.org/bugzilla/buglist.cgi?quicksearch=may%20be%20used%20uninitializedhttps://gcc.gnu.org/bugzilla/show_bug.cgi?id=42145especialy:https://gcc.gnu.org/bugzilla/show_bug.cgi?id=90710#c1		
gcc	diagnostic,c++-feature	refactoring	 https://github.com/sailfishos-mirror/qtbase/commit/81b9ee66b8e40ed145185fe46b7c91929688cafd	QLibrary: Suppress GCC 12 warning about dangling pointer accessIntroduced in commit d07742f333df89dc399fc5d9cabf2bdef0b346c5. Reportedby GCC 12:qlibrary.cpp:672:9: error: dangling pointer to 闁炽儲andidates闁?may be used [-Werror=dangling-pointer=]  672 |         if (isValidSuffix(*it++))      |         ^~qlibrary.cpp:634:29: note: 闁炽儲andidates闁?declared here  634 |         const QLatin1String candidates[] = {      |                             ^~~~~~~~~~This is a false positive report because the lambda does not return apointer or iterator. But it's a good update anyway to keep the arrayoutside the lambda, so it won't be recreated every time.See https://gcc.gnu.org/bugzilla/show_bug.cgi?id=104492Pick-to: 6.3Change-Id: I74249c52dc02478ba93cfffd16d230abd1bf6166Reviewed-by: Marc Mutz <marc.mutz@qt.io>		
gcc	diagnostic	refactoring	 https://github.com/xdroid-devices/xd_kernel_xiaomi_dipper/commit/d488b40a3442b16e741edc80971caad1574b4098	qnx4: work around gcc false positive warning bugcommit d5f6545934c47e97c0b48a645418e877b452a992 upstream.In commit b7213ffa0e58 ("qnx4: avoid stringop-overread errors") I triedto teach gcc about how the directory entry structure can be twodifferent things depending on a status flag.  It made the code clearer,and it seemed to make gcc happy.However, Arnd points to a gcc bug, where despite using two differentmembers of a union, gcc then gets confused, and uses the size of one ofthe members to decide if a string overrun happens.  And not necessarilythe rigth one.End result: with some configurations, gcc-11 will still complain aboutthe source buffer size being overread:  fs/qnx4/dir.c: In function 'qnx4_readdir':  fs/qnx4/dir.c:76:32: error: 'strnlen' specified bound [16, 48] exceeds source size 1 [-Werror=stringop-overread]     76 |                         size = strnlen(name, size);        |                                ^~~~~~~~~~~~~~~~~~~  fs/qnx4/dir.c:26:22: note: source object declared here     26 |                 char de_name;        |                      ^~~~~~~because gcc will get confused about which union member entry is actuallygetting accessed, even when the source code is very clear about it.  Gccinternally will have combined two "redundant" pointers (pointing todifferent union elements that are at the same offset), and takes thesize checking from one or the other - not necessarily the right one.This is clearly a gcc bug, but we can work around it fairly easily.  Thebiggest thing here is the big honking comment about why we do what wedo.Link: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=99578#c6Reported-and-tested-by: Arnd Bergmann <arnd@kernel.org>Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>Signed-off-by: Greg Kroah-Hartman <gregkh@linuxfoundation.org>		
gcc	diagnostic	suppressing warning messages	 https://github.com/google/tcmalloc/commit/ad2dcab74fa228799b1dc6886926eacd74cbe8d3	Repair GCC build by ignoring a false-positive error message. See https://gcc.gnu.org/bugzilla/show_bug.cgi?id=96003 for more details.PiperOrigin-RevId: 399216495Change-Id: I0c479e351ad0f32994347989f9c5eec52e03a292		
gcc	diagnostic	modifying non-triggered programs	 https://github.com/turex/siberia_hi6250_kernel/commit/e738a64220d4b4fb70a3a7b21a9d127abae09333	rtlwifi: fix uninitialized rtlhal->last_suspend_sec timecommit 3f2a162fab15aee243178b5308bb5d1206fc4043 upstream.We set rtlhal->last_suspend_sec to an uninitialized stack variable,but unfortunately gcc never warned about this, I only found itwhile working on another patch. I opened a gcc bug for this.Presumably the value of rtlhal->last_suspend_sec is not all thatimportant, but it does get used, so we probably want thepatch backported to stable kernels.Link: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=82839Signed-off-by: Arnd Bergmann <arnd@arndb.de>Acked-by: Larry Finger <Larry.Finger@lwfinger.net>Signed-off-by: Kalle Valo <kvalo@codeaurora.org>Signed-off-by: Greg Kroah-Hartman <gregkh@linuxfoundation.org>		
gcc	diagnostic	suppressing warning messages	 https://github.com/GrapheneOS/hardened_malloc/commit/75952581ee2391438b933a4d4021d7f2f4f43724	Silence a GCC warningAs suggested in https://gcc.gnu.org/bugzilla/show_bug.cgi?id=66425#c34		
gcc	diagnostic	suppressing warning messages	 https://github.com/bsd-hacker/freebsd/commit/5a8dc1ce273383a8c27063e6b58112900ba42480	Silence GCC's -Wno-unused-result during bootstrapUnlike clang, GCC still warns even with (void) casts (https://gcc.gnu.org/bugzilla/show_bug.cgi?id=66425)		
gcc	diagnostic	refactoring	 https://github.com/sailfishos-mirror/cmake/commit/ae101921e8441d2a87ce0f09804cad2409726cc5	Source: Avoid gcc 12 compilation warningGCC 12 warns:    warning: '%04d' directive output may be truncated writing between    4 and 11 bytes into a region of size 5 [-Wformat-truncation=]The surrounding logic guarantees the formatted integer will neverbe more than 4 bytes, but it doesn't hurt to use a larger buffer.This GCC behavior is documented:    https://gcc.gnu.org/bugzilla/show_bug.cgi?id=104012#c5		
gcc	diagnostic	refactoring	 https://github.com/sourceruckus/linux-mdl/commit/14b6cff54edaca5740068e9ed070152727ed7718	staging: rtl8723bs: avoid bogus gcc warninggcc gets confused by some of the type casts and produces anapparently senseless warning about an out-of-bound memcpy toan unrelated array in the same structure:drivers/staging/rtl8723bs/os_dep/ioctl_cfg80211.c: In function 'rtw_cfg80211_ap_set_encryption':cc1: error: writing 8 bytes into a region of size 0 [-Werror=stringop-overflow=]In file included from drivers/staging/rtl8723bs/include/drv_types.h:32,                 from drivers/staging/rtl8723bs/os_dep/ioctl_cfg80211.c:10:drivers/staging/rtl8723bs/include/rtw_security.h:98:15: note: at offset [184, 4264] into destination object 'dot11AuthAlgrthm' of size 4   98 |         u32   dot11AuthAlgrthm;         /*  802.11 auth, could be open, shared, 8021x and authswitch */      |               ^~~~~~~~~~~~~~~~cc1: error: writing 8 bytes into a region of size 0 [-Werror=stringop-overflow=]drivers/staging/rtl8723bs/include/rtw_security.h:98:15: note: at offset [264, 4344] into destination object 'dot11AuthAlgrthm' of size 4This is a known gcc bug, and the patch here is only a workaround,but the approach of using a temporary variable to hold a pointerto the key also improves readability in addition to avoiding thewarning, so overall this should still help.Link: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=99673Signed-off-by: Arnd Bergmann <arnd@arndb.de>Link: https://lore.kernel.org/r/20210422152648.2891996-1-arnd@kernel.orgCc: stable <stable@vger.kernel.org>Signed-off-by: Greg Kroah-Hartman <gregkh@linuxfoundation.org>		
gcc	diagnostic	suppressing warning messages	 https://github.com/sumoprojects/sumokoin/commit/8e8a37b5f2338bbced7914bfb54d2a5e9698a36c	suppress warning due to gcc bug https://gcc.gnu.org/bugzilla/show_bug.cgi?id=51712		
gcc	diagnostic	refactoring	 https://github.com/boostorg/nowide/commit/4d3afcef3cb81721502361251cd8fbbad91a8bac	Use typedef for qualified struct ::stat`using` triggers a bogus warning in GCC (e.g. MinGW) < 11:https://gcc.gnu.org/bugzilla/show_bug.cgi?id=66159		
gcc	diagnostic	refactoring	 https://github.com/Bitcoin-ABC/bitcoin-abc/commit/978dc6c00a227b0ff396cf084d4810f39d7475c9	Work around GCC -Wmaybe-uninitialized false positiveSummary:This works around a GCC bug:https://gcc.gnu.org/bugzilla/show_bug.cgi?id=80635Test Plan:With an affected GCC version:  ninja all checkReviewers: #bitcoin_abc, majcostaReviewed By: #bitcoin_abc, majcostaDifferential Revision: https://reviews.bitcoinabc.org/D8630		
gcc	diagnostic	suppressing warning messages	 https://github.com/ljmf00/lldb-d/commit/d9eb6c7cf55f88b28bdc6edad2eb45d0d52dfa1a	[libc++abi] Remove workarounds for missing -Wno-exceptions on older GCCshttps://gcc.gnu.org/bugzilla/show_bug.cgi?id=97675 has now been resolvedin GCC 11, so we can remove those workarounds.Differential Revision: https://reviews.llvm.org/D109188		
gcc	diagnostic	refactoring	 https://github.com/libreswan/libreswan/commit/60c13446394ea74a331f82e494a275ca9858c47b	connections: move .where to end of connection_filterWorkaround https://gcc.gnu.org/bugzilla/show_bug.cgi?id=102288		
gcc	diagnostic,optimization	modifying non-triggered programs	 https://github.com/xenia-project/xenia/commit/10ff77a24f25827021a900b730e8868b878b1f14	[Base] Add workaround for GCC bughttps://gcc.gnu.org/bugzilla/show_bug.cgi?id=100801		
gcc	diagnostic,wrong-code	others	 https://github.com/BossHobby/QUICKSILVER/commit/cd821b919d0ca514b6ea3c6ff3dd39e6be63d1c4	pio: update compiler packagethis reveals a compiler bug with missaligned reads on packed structshttps://gcc.gnu.org/bugzilla/show_bug.cgi?id=51628		
gcc	optimization	modifying non-triggered programs	 https://github.com/roberteg16/Quark/commit/3d89fb4d13bc3af1c3643a310b90fce51a649119	[RISCV] Support machine constraint "S"Similar to D46745, "S" represents an absolute symbolic operand, whichcan be used to specify the access models, e.g.  extern int var;  void *addr_via_asm() {    void *ret;    asm("lui %0, %%hi(%1)\naddi %0,%0,%%lo(%1)" : "=r"(ret) : "S"(&var));    return ret;  }'S' is documented in trunk GCC: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=101275Reviewed By: luismarquesDifferential Revision: https://reviews.llvm.org/D105254		
gcc	crash	refactoring	 https://github.com/apache/arrow/commit/482ac5fa763f48efca8f83560da51fff1084df49	ARROW-10867: [C++] Workaround gcc internal compiler errorSeveral gcc versions (from at least 7.x to 10.x) crash on the current development version of Arrow.Upstream bug report is at https://gcc.gnu.org/bugzilla/show_bug.cgi?id=98282Closes #8923 from pitrou/ARROW-10867-internal-gcc-errorAuthored-by: Antoine Pitrou <antoine@python.org>Signed-off-by: Benjamin Kietzman <bengilgit@gmail.com>		
gcc	crash	refactoring	 https://github.com/ComputationalRadiationPhysics/picongpu/commit/2841fbc749c17a986c692f686eb43e2f8dedbb30	fix GCC constexpr lambda bugApply workaround for https://gcc.gnu.org/bugzilla/show_bug.cgi?id=91377		
gcc	crash	refactoring	 https://github.com/simgrid/simgrid/commit/8989e31e81c82d0a754da9b1a0850ca23a27d0d1	Revert "Silly workaround for coverage build with gcc-10."This reverts commit d345b5dad90a1ec9829011b9188185aaf4d3240a.The problem with gcc was likely fixed with PR fortran/95847(see https://gcc.gnu.org/bugzilla/show_bug.cgi?id=95847)		
gcc	crash	others	 https://github.com/WanzenBug/fedora-src-qemu/commit/f9f5de99949d58a308ae03ab2a0f4fd35b3e1160	Define STAP_SDT_ARG_CONSTRAINT=g on %%{arm}, workaround for:https://gcc.gnu.org/bugzilla/show_bug.cgi?id=103395See also /usr/include/sys/sdt.h		
gcc	wrong-code	modifying non-triggered programs	 https://github.com/ammarfaizi2/linux-block/commit/b53823fb2ef854222853be164f3b1e815f315144	selftests/rseq: Fix: work-around asm goto compiler bugsgcc and clang each have their own compiler bugs with respect to asmgoto. Implement a work-around for compiler versions known to have thosebugs.gcc prior to 4.8.2 miscompiles asm goto.https://gcc.gnu.org/bugzilla/show_bug.cgi?id=58670gcc prior to 8.1.0 miscompiles asm goto at O1.https://gcc.gnu.org/bugzilla/show_bug.cgi?id=103908clang prior to version 13.0.1 miscompiles asm goto at O2.https://github.com/llvm/llvm-project/issues/52735Work around these issues by adding a volatile inline asm withmemory clobber in the fallthrough after the asm goto and at eachlabel target.  Emit this for all compilers in case other similarissues are found in the future.Signed-off-by: Mathieu Desnoyers <mathieu.desnoyers@efficios.com>Signed-off-by: Peter Zijlstra (Intel) <peterz@infradead.org>Link: https://lkml.kernel.org/r/20220124171253.22072-14-mathieu.desnoyers@efficios.com		
gcc	link-failure	modifying non-triggered programs	 https://github.com/beagleboard/buildroot/commit/137225cef423ccbebc31d0c562bf3f37192739ac	package/gcc: add OpenRisc patches for gcc version 11.1.0At the moment of gcc 11.1.0 release the OpenRisc patches for -mcmodel=largewere still pending. They have been upstreamed yesterday as pointed in gccbugzilla[1]. So they will be part of gcc 11.3.0 or maybe before on 11.2.2. Anyway at the moment if we try to build packages libgeos and protobufwith OpenRisc gcc 11.1.0 it fails due to missing -mcmodel=large. So let'sadd OpenRisc patches for it as done for all the previous versions.Fixes:still not appeared on autobuilers[1]: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=99783Signed-off-by: Giulio Benetti <giulio.benetti@benettiengineering.com>Signed-off-by: Arnout Vandecappelle (Essensium/Mind) <arnout@mind.be>		
gcc	optimization	modifying non-triggered programs	 https://github.com/golang/go/commit/96081f854547353caaa77b795974f76b24572493	cmd/compile: remove a false dependency for TZCNTLZCNT/TZCNT on some Intel CPUs suffer from a false dependency onthe destination register.The problem was mentioned in the GCC Ticket: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=62011#c7and fixed with https://gcc.gnu.org/viewcvs?rev=214112&root=gcc&view=revChange-Id: I8109e84f03ac85f221b06d3b913612b58320d151Reviewed-on: https://go-review.googlesource.com/c/go/+/369019Reviewed-by: Keith Randall <khr@golang.org>Trust: Alex Rakoczy <alex@golang.org>Run-TryBot: Alex Rakoczy <alex@golang.org>TryBot-Result: Gopher Robot <gobot@golang.org>		
gcc	optimization	disabling optimizations	 https://github.com/RevengeOS-Devices/kernel_realme_RMX1971/commit/2a49e83992f499ceed9e3371b9f5eaf162388ed7	crypto: aes-generic - fix aes-generic regression on powerpcMy last bugfix added -Os on the command line, which unfortunately causeda build regression on powerpc in some configurations.I've done some more analysis of the original problem and found slightlydifferent workaround that avoids this regression and also results inbetter performance on gcc-7.0: -fcode-hoisting is an optimization stepthat got added in gcc-7 and that for all gcc-7 versions causes worseperformance.This disables -fcode-hoisting on all compilers that understand the option.For gcc-7.1 and 7.2 I found the same performance as my previous patch(using -Os), in gcc-7.0 it was even better. On gcc-8 I could see nochange in performance from this patch. In theory, code hoisting shouldnot be able make things better for the AES cipher, so leaving itdisabled for gcc-8 only serves to simplify the Makefile change.Reported-by: kbuild test robot <fengguang.wu@intel.com>Link: https://www.mail-archive.com/linux-crypto@vger.kernel.org/msg30418.htmlLink: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=83356Link: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=83651Fixes: 148b974deea9 ("crypto: aes-generic - build with -Os on gcc-7+")Signed-off-by: Arnd Bergmann <arnd@arndb.de>Signed-off-by: Herbert Xu <herbert@gondor.apana.org.au>Signed-off-by: Raphiel Rollerscaperers <raphielscape@outlook.com>Signed-off-by: laststandrighthere <laststandrighthere@gmail.com>Signed-off-by: Lau <laststandrighthere@gmail.com>		
gcc	optimization	disabling optimizations	 https://github.com/Ultra119/kernel_leeco_msm8976/commit/d24694f4e3d71d81f54966fd26825e112779b721	gcov: disable tree-loop-im to reduce stack usage[ Upstream commit c87bf431448b404a6ef5fbabd74c0e3e42157a7f ]Enabling CONFIG_GCOV_PROFILE_ALL produces us a lot of warnings likelib/lz4/lz4hc_compress.c: In function 'lz4_compresshcctx':lib/lz4/lz4hc_compress.c:514:1: warning: the frame size of 1504 bytes is larger than 1024 bytes [-Wframe-larger-than=]After some investigation, I found that this behavior started with gcc-4.9,and opened https://gcc.gnu.org/bugzilla/show_bug.cgi?id=69702.A suggested workaround for it is to use the -fno-tree-loop-imflag that turns off one of the optimization stages in gcc, so thecode runs a little slower but does not use excessive amountsof stack.We could make this conditional on the gcc version, but I could notfind an easy way to do this in Kbuild and the benefit would befairly small, given that most of the gcc version in production areaffected now.I'm marking this for 'stable' backports because it addresses a bugwith code generation in gcc that exists in all kernel versionswith the affected gcc releases.Signed-off-by: Arnd Bergmann <arnd@arndb.de>Acked-by: Peter Oberparleiter <oberpar@linux.vnet.ibm.com>Cc: stable@vger.kernel.orgSigned-off-by: Michal Marek <mmarek@suse.com>Signed-off-by: Sasha Levin <sasha.levin@oracle.com>		
gcc	wrong-code	refactoring	 https://github.com/TKChattoraj/bitcoin/commit/252d1a70fb452893efe4ab64298139eb08d8ac98	ci: use Debian Bullseye in ARM CIThis works around an issue when trying to use `std::filesystem::remove_all`with the ARM GCC on Buster. Has been split out of #20744.See comments starting here:https://github.com/bitcoin/bitcoin/pull/20744#issuecomment-810279549.Also: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=93201.		
gcc	rejects-valid	refactoring	 https://github.com/wagerr/wagerr/commit/8ea542b7aad7c582c45bcf3758153a0f7048a2a8	fix old gcc compiler bug (https://gcc.gnu.org/bugzilla/show_bug.cgi?id=50025)		
gcc	rejects-valid	implementing methods	 https://github.com/sleepybishop/oblas/commit/877a4bffae1bcb18d74015889a11ae0b2d6cbb12	gcc has added avx intrinsics (https://gcc.gnu.org/bugzilla/show_bug.cgi?id=91341#c3)		
gcc	rejects-valid	disabling optimizations	 https://github.com/isrc-cas/chromium-v8-build/commit/e2395fc5f7856c4976433964b70e4400a4cb627f	GCC: no -fno-delete-null-pointer-checks in compiler flagsGCC seems to have a bug with constexpr when this flag is present:https://gcc.gnu.org/bugzilla/show_bug.cgi?id=97913So enable it only on clang for now.Bug: 1139129Change-Id: If657d5e3fac1621adf57c266cfd64ce628dc7b86Reviewed-on: https://chromium-review.googlesource.com/c/chromium/src/+/2551494Commit-Queue: Matthew Denton <mpdenton@chromium.org>Reviewed-by: Nico Weber <thakis@chromium.org>Cr-Commit-Position: refs/heads/master@{#829585}GitOrigin-RevId: 023af6393c5555cd66eb8c45e33d18c6a0cf38ba		
